дата;время;предмет;место встречи ;вид занятия ;преподаватель
11.12.2024;10:10 - 11:40;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
11.12.2024;11:50 - 13:20;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
11.12.2024;13:50 - 15:20;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
11.12.2024;15:30 - 17:00;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
12.12.2024;10:10 - 11:40;Внедрение информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
12.12.2024;11:50;Внедрение информационных систем;204в В;ИМ (зачет с оценкой);Куликовская А.А.
12.12.2024;11:50 - 13:20;Внедрение информационных систем;204в В;Лабораторный практикум;Куликовская А.А.
12.12.2024;13:50 - 15:20;Экономика отрасли;304в В;Лекция;Паскина М.В.
12.12.2024;15:30;Экономика отрасли;304в В;ИМ (зачет с оценкой);Паскина М.В.
12.12.2024;15:30 - 17:00;Экономика отрасли;304в В;Практическое занятие;Паскина М.В.
13.12.2024;10:10 - 11:40;Основы проектирования баз данных;207в В;Лабораторный практикум;Куликовская А.А.
13.12.2024;11:50 - 13:20;Основы проектирования баз данных;207в В;Лабораторный практикум;Куликовская А.А.
14.12.2024;13:50 - 15:20;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
14.12.2024;15:30 - 17:00;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
16.12.2024;10:10 - 11:40;Разработка кода информационных систем;304в В;Лекция;Куликовская А.А.
16.12.2024;11:50 - 13:20;Разработка кода информационных систем;304в В;Лекция;Куликовская А.А.
17.12.2024;10:10 - 11:40;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
17.12.2024;11:50 - 13:20;Разработка кода информационных систем;207в В;Лабораторный практикум;Куликовская А.А.
18.12.2024;10:10 - 11:40;Теория вероятностей и математическая статистика;304в В;Лекция;Бахристова А.А.
18.12.2024;11:50;Теория вероятностей и математическая статистика;304в В;ИМ (зачет с оценкой);Бахристова А.А.
18.12.2024;11:50 - 13:20;Теория вероятностей и математическая статистика;304в В;Практическое занятие;Бахристова А.А.
18.12.2024;13:50 - 15:20;Менеджмент в профессиональной деятельности;304в В;Лекция;Пантелеев Д.М.
18.12.2024;15:30;Менеджмент в профессиональной деятельности;304в В;ИМ(зач);Пантелеев Д.М.
18.12.2024;15:30 - 17:00;Менеджмент в профессиональной деятельности;304в В;Практическое занятие;Пантелеев Д.М.
19.12.2024;13:50 - 15:20;Дискретная математика с элементами математической логики;304в В;Лекция;Сафонов П.П.
19.12.2024;15:30 - 17:00;Дискретная математика с элементами математической логики;304в В;Практическое занятие;Сафонов П.П.
19.12.2024;15:30;Дискретная математика с элементами математической логики;304в В;ИМ (зачет с оценкой);Сафонов П.П.
20.12.2024;11:50 - 13:20;Устройство и функционирование информационной системы;304в В;Лекция;Нещеретняя Е.А.
20.12.2024;13:50 - 15:20;Устройство и функционирование информационной системы;207в В;Лабораторный практикум;Нещеретняя Е.А.
20.12.2024;15:30 - 17:00;Устройство и функционирование информационной системы;207в В;Лабораторный практикум;Нещеретняя Е.А.
21.12.2024;13:50 - 15:20;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
21.12.2024;15:30 - 17:00;Инженерно-техническая поддержка сопровождения информационных систем;208в В;Лабораторный практикум;.
21.12.2024;15:30;Инженерно-техническая поддержка сопровождения информационных систем;208в В;ИМ (зачет с оценкой);.
23.12.2024;10:10 - 11:40;Основы проектирования баз данных;304в В;Лекция;Куликовская А.А.
23.12.2024;11:50 - 13:20;Основы проектирования баз данных;304в В;Лекция;Куликовская А.А.
23.12.2024;13:50 - 15:20;Проектирование и дизайн информационных систем;304в В;Лекция;.
23.12.2024;15:30 - 17:00;Проектирование и дизайн информационных систем;304в В;Лекция;.
24.12.2024;10:10 - 11:40;Проектирование и дизайн информационных систем;206в В;Лабораторный практикум;.
24.12.2024;11:50 - 13:20;Проектирование и дизайн информационных систем;206в В;Лабораторный практикум;.
25.12.2024;10:10 - 11:40;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
25.12.2024;11:50;Основы проектирования баз данных;206в В;ИМ (зачет с оценкой);Куликовская А.А.
25.12.2024;11:50 - 13:20;Основы проектирования баз данных;206в В;Лабораторный практикум;Куликовская А.А.
25.12.2024;13:50 - 15:20;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
25.12.2024;15:30 - 17:00;Иностранный язык в профессиональной деятельности;304в В;Практическое занятие;Гундрова Ю.М.
